Date,Away,AwayPts,Home,HomePts,Diff
2023-11-28,Oral Roberts,78,Kansas St.,88,-10
2023-12-02,North Alabama,74,Kansas St.,75,-1
2023-12-05,Villanova,71,Kansas St.,72,-1
2023-12-17,Nebraska,62,Kansas St.,46,16
2023-12-21,Wichita St.,60,Kansas St.,69,-9
2023-11-07,Oakwood,46,Kennesaw St.,93,-47
2023-11-15,Keiser,55,Kennesaw St.,101,-46
2023-11-19,Georgia Southern,92,Kennesaw St.,96,-4
2023-12-02,Georgia St.,77,Kennesaw St.,88,-11
2023-12-05,UNC Asheville,76,Kennesaw St.,79,-3
2023-12-19,Brescia,59,Kennesaw St.,91,-32
2023-11-06,Malone,58,Kent St.,79,-21
2023-11-09,James Madison,113,Kent St.,108,5
2023-11-11,Fresno St.,69,Kent St.,79,-10
2023-11-17,Hampton,62,Kent St.,100,-38
2023-11-20,Fordham,72,Kent St.,79,-7
2023-11-26,Charleston,84,Kent St.,78,6
2023-11-30,Shawnee St.,61,Kent St.,103,-42
2023-12-09,Cleveland St.,77,Kent St.,83,-6
2023-11-06,New Mexico St.,46,Kentucky,86,-40
2023-11-10,Texas A&M Commerce,61,Kentucky,81,-20
2023-11-14,Kansas,89,Kentucky,84,5
2023-11-17,Stonehill,67,Kentucky,101,-34
2023-11-20,Saint Joseph's,88,Kentucky,96,-8
2023-11-24,Marshall,82,Kentucky,118,-36
2023-11-28,Miami FL,73,Kentucky,95,-22
2023-12-02,UNC Wilmington,80,Kentucky,73,7
2023-12-29,Illinois St.,70,Kentucky,96,-26
2023-11-10,Air Force,82,LIU,67,15
2023-11-24,Texas A&M Corpus Chris,68,LIU,83,-15
2023-12-28,Albany,86,LIU,69,17
2023-11-06,Mississippi Valley St.,60,LSU,106,-46
2023-11-10,Nicholls St.,68,LSU,66,2
2023-11-16,Dayton,70,LSU,67,3
2023-11-17,North Texas,62,LSU,66,-4
2023-11-24,North Florida,63,LSU,75,-12
2023-12-01,Southeastern Louisiana,66,LSU,73,-7
2023-12-09,Kansas St.,75,LSU,60,15
2023-12-13,Alabama St.,56,LSU,74,-18
2023-12-21,Lamar,66,LSU,87,-21
2023-12-29,Northwestern St.,55,LSU,96,-41
2023-11-07,Drexel,61,La Salle,67,-6
2023-11-11,Northeastern,74,La Salle,79,-5
2023-11-14,Bucknell,57,La Salle,69,-12
2023-11-18,Southern Indiana,78,La Salle,79,-1
2023-11-26,Coppin St.,62,La Salle,81,-19
2023-12-06,Loyola MD,61,La Salle,62,-1
2023-12-21,Rosemont,41,La Salle,107,-66
2023-12-30,Howard,71,La Salle,66,5
2023-11-19,Wilkes,53,Lafayette,69,-16
2023-11-26,Belmont,79,Lafayette,69,10
2023-11-29,Drexel,69,Lafayette,48,21
2023-12-02,Cornell,79,Lafayette,71,8
2023-12-09,La Salle,67,Lafayette,51,16
2023-12-21,Quinnipiac,78,Lafayette,60,18
2023-11-18,Utah Tech,81,Lake Erie,69,12
2023-11-06,Jarvis Christian,66,Lamar,114,-48
2023-11-14,UTSA,82,Lamar,90,-8
2023-11-24,Bethune Cookman,65,Lamar,83,-18
2023-11-26,Delaware St.,81,Lamar,84,-3
2023-12-14,Louisiana Monroe,73,Lamar,97,-24
2023-12-18,Southern Miss,82,Lamar,79,3
2023-12-30,Paul Quinn,64,Lamar,91,-27
2023-11-13,SUNY Canton,46,Le Moyne,105,-59
2023-11-29,Fredonia St.,54,Le Moyne,92,-38
2023-12-16,Dartmouth,54,Le Moyne,80,-26
2023-12-18,Houghton,72,Le Moyne,92,-20
2023-11-06,Cornell,84,Lehigh,78,6
2023-11-16,SUNY Oneonta,65,Lehigh,90,-25
2023-11-29,Saint Francis,62,Lehigh,61,1
2023-12-09,Cairn,33,Lehigh,88,-55
2023-11-06,Mid Atlantic Christian,43,Liberty,103,-60
2023-11-16,Furman,74,Liberty,88,-14
2023-11-17,Wichita St.,66,Liberty,83,-17
2023-11-19,Vermont,61,Liberty,71,-10
2023-11-25,Maryland Eastern Shore,62,Liberty,99,-37
2023-12-05,Mississippi Valley St.,39,Liberty,74,-35
2023-12-09,Grand Canyon,69,Liberty,64,5
2023-12-13,Tennessee St.,52,Liberty,74,-22
2023-12-16,St. Andrews Pres.,26,Liberty,99,-73
2023-11-13,Hannibal LaGrange,52,Lindenwood,83,-31
2023-11-17,Nebraska Omaha,70,Lindenwood,72,-2
2023-11-27,Utah Tech,73,Lindenwood,66,7
2023-12-09,UMKC,72,Lindenwood,67,5
2023-12-12,Avila,64,Lindenwood,81,-17
2023-12-22,Rockford,54,Lindenwood,81,-27
2023-12-31,Southern Indiana,73,Lindenwood,62,11
2023-11-11,Asbury,74,Lipscomb,113,-39
2023-11-18,Alabama A&M,81,Lipscomb,106,-25
2023-11-24,UNC Asheville,75,Lipscomb,86,-11
2023-11-29,Chattanooga,68,Lipscomb,82,-14
2023-12-10,Tennessee St.,71,Lipscomb,78,-7
2023-12-20,Bryan,55,Lipscomb,101,-46
2023-11-06,Texas St.,66,Little Rock,71,-5
2023-11-18,Northern Illinois,98,Little Rock,93,5
2023-11-22,Georgia St.,93,Little Rock,90,3
2023-11-25,Tulsa,82,Little Rock,84,-2
2023-11-28,Ball St.,64,Little Rock,90,-26
2023-12-01,Arkansas St.,66,Little Rock,77,-11
2023-12-10,Winthrop,85,Little Rock,68,17
2023-12-13,UTSA,84,Little Rock,93,-9
2023-12-18,Murray St.,66,Little Rock,80,-14
2023-12-21,Jacksonville St.,90,Little Rock,60,30
2023-11-21,Iona,76,Long Beach St.,80,-4
2023-12-02,Sacramento St.,73,Long Beach St.,83,-10
2023-12-06,Life Pacific,66,Long Beach St.,88,-22
2023-12-19,Cal St.Dominguez Hills,78,Long Beach St.,107,-29
2023-12-30,Cal St. Northridge,84,Long Beach St.,68,16
2023-11-11,St. Mary's MD,43,Longwood,95,-52
2023-11-18,North Carolina Central,66,Longwood,73,-7
2023-11-24,Delaware St.,82,Longwood,84,-2
2023-11-25,Lamar,72,Longwood,83,-11
2023-11-26,Bethune Cookman,48,Longwood,69,-21
2023-11-30,The Apprentice School,46,Longwood,95,-49
2023-12-11,Gallaudet,61,Longwood,92,-31
2023-12-17,VMI,49,Longwood,68,-19
2023-11-06,Youngstown St.,62,Louisiana,72,-10
2023-11-15,Louisiana Christian,56,Louisiana,107,-51
2023-11-22,Long Beach St.,82,Louisiana,92,-10
2023-11-27,Loyola LA,54,Louisiana,78,-24
2023-12-13,Eastern Kentucky,62,Louisiana,73,-11
2023-11-16,Louisiana Tech,73,Louisiana Monroe,63,10
2023-11-20,Ecclesia,74,Louisiana Monroe,103,-29
2023-11-28,Northwestern St.,70,Louisiana Monroe,74,-4
2023-12-05,Champion Christian,63,Louisiana Monroe,110,-47
2023-11-13,Lyon,43,Louisiana Tech,100,-57
2023-11-21,Southern Utah,53,Louisiana Tech,67,-14
2023-11-22,McNeese St.,62,Louisiana Tech,71,-9
2023-11-25,Dillard,65,Louisiana Tech,105,-40
2023-12-02,Nicholls St.,55,Louisiana Tech,68,-13
2023-12-09,Louisiana,67,Louisiana Tech,72,-5
2023-12-12,Southeastern Louisiana,60,Louisiana Tech,89,-29
2023-11-06,UMBC,93,Louisville,94,-1
2023-11-10,Chattanooga,81,Louisville,71,10
2023-11-15,Coppin St.,41,Louisville,61,-20
2023-11-19,Texas,81,Louisville,80,1
2023-11-20,Indiana,74,Louisville,66,8
2023-11-26,New Mexico St.,84,Louisville,90,-6
2023-11-29,Bellarmine,68,Louisville,73,-5
2023-12-13,Arkansas St.,75,Louisville,63,12
2023-12-17,Pepperdine,63,Louisville,85,-22
2023-12-21,Kentucky,95,Louisville,76,19
2023-11-08,Florida Atlantic,75,Loyola Chicago,62,13
2023-11-11,Eastern Illinois,65,Loyola Chicago,89,-24
2023-11-14,Illinois Chicago,72,Loyola Chicago,67,5
2023-11-18,New Orleans,70,Loyola Chicago,73,-3
2023-11-22,Creighton,88,Loyola Chicago,65,23
2023-11-23,Boston College,68,Loyola Chicago,71,-3
2023-11-28,Chicago St.,53,Loyola Chicago,62,-9
2023-12-02,Harvard,53,Loyola Chicago,75,-22
2023-12-09,Goshen,64,Loyola Chicago,115,-51
2023-12-19,Charleston Southern,59,Loyola Chicago,72,-13
2023-12-30,Central Michigan,35,Loyola Chicago,73,-38
2023-11-15,Binghamton,63,Loyola MD,57,6
2023-11-18,Sacred Heart,66,Loyola MD,51,15
2023-12-02,Delaware St.,79,Loyola MD,73,6
2023-12-09,Mount St. Mary's,77,Loyola MD,64,13
2023-12-22,St. Mary's MD,57,Loyola MD,91,-34
2023-11-07,Westcliff,68,Loyola Marymount,109,-41
2023-11-12,Yale,83,Loyola Marymount,80,3
2023-11-14,Jackson St.,66,Loyola Marymount,88,-22
2023-11-19,Stephen F. Austin,86,Loyola Marymount,76,10
2023-11-20,Oakland,74,Loyola Marymount,69,5
2023-11-25,UTEP,47,Loyola Marymount,67,-20
2023-11-29,Central Arkansas,63,Loyola Marymount,90,-27
2023-12-16,UC Santa Barbara,68,Loyola Marymount,59,9
2023-12-18,Detroit Mercy,56,Loyola Marymount,76,-20
2023-12-22,Colorado St.,76,Loyola Marymount,67,9
2023-12-29,Tarleton St.,79,Loyola Marymount,66,13
2023-11-08,Maine Presque Isle,59,Maine,111,-52
2023-11-12,Merrimack,71,Maine,65,6
2023-11-17,Presbyterian,66,Maine,80,-14
2023-12-03,Brown,49,Maine,60,-11
2023-12-09,Central Connecticut,56,Maine,69,-13
2023-11-16,Felician,67,Manhattan,79,-12
2023-12-01,Mount St. Mary's,74,Manhattan,75,-1
2023-12-08,Fairleigh Dickinson,76,Manhattan,71,5
2023-12-30,Wagner,68,Manhattan,56,12
2023-11-25,Bucknell,49,Marist,73,-24
2023-12-03,Manhattan,56,Marist,70,-14
2023-12-18,Maryland Eastern Shore,52,Marist,76,-24
2023-12-30,Lehigh,65,Marist,58,7
2023-11-06,Northern Illinois,70,Marquette,92,-22
2023-11-10,Rider,65,Marquette,95,-30
2023-11-20,UCLA,69,Marquette,71,-2
2023-11-21,Kansas,59,Marquette,73,-14
2023-11-22,Purdue,78,Marquette,75,3
2023-11-28,Southern,56,Marquette,93,-37
2023-12-06,Texas,65,Marquette,86,-21
2023-12-09,Notre Dame,59,Marquette,78,-19
2023-12-14,St. Thomas,79,Marquette,84,-5
2023-12-22,Georgetown,51,Marquette,81,-30
2023-12-30,Creighton,67,Marquette,72,-5
2023-11-06,Queens,73,Marshall,89,-16
2023-11-10,Radford,66,Marshall,62,4
2023-11-21,Oakland,78,Marshall,71,7
2023-12-02,Miami OH,79,Marshall,74,5
2023-12-06,Duquesne,85,Marshall,72,13
2023-12-16,UNC Greensboro,65,Marshall,72,-7
2023-12-18,Bluefield,70,Marshall,103,-33
2023-12-21,UNC Wilmington,78,Marshall,69,9
2023-12-30,Louisiana,61,Marshall,75,-14
2023-11-07,Mount St. Mary's,53,Maryland,68,-15
2023-11-10,Davidson,64,Maryland,61,3
2023-11-21,UMBC,68,Maryland,92,-24
2023-11-25,South Alabama,55,Maryland,68,-13
2023-11-28,Rider,76,Maryland,103,-27
2023-12-06,Penn St.,75,Maryland,81,-6
2023-12-12,Alcorn St.,65,Maryland,105,-40
2023-12-19,Nicholls St.,67,Maryland,73,-6
2023-12-28,Coppin St.,53,Maryland,75,-22
2023-11-11,Cairn,65,Maryland Eastern Shore,83,-18
2023-11-15,Longwood,80,Maryland Eastern Shore,61,19
2023-11-18,Penn,80,Maryland Eastern Shore,83,-3
2023-11-07,Albany,71,Massachusetts,92,-21
2023-11-13,Quinnipiac,81,Massachusetts,102,-21
2023-11-17,Harvard,78,Massachusetts,75,3
2023-11-22,Central Connecticut,60,Massachusetts,89,-29
2023-12-02,South Florida,56,Massachusetts,66,-10
2023-12-09,UMass Lowell,77,Massachusetts,91,-14
2023-12-16,West Virginia,79,Massachusetts,87,-8
2023-12-21,Georgia Tech,73,Massachusetts,70,3
2023-12-24,Old Dominion,65,Massachusetts,87,-22
2023-12-30,Siena,66,Massachusetts,79,-13
2023-11-10,Biblical Studies,55,McNeese St.,96,-41
2023-11-13,Champion Christian,46,McNeese St.,110,-64
2023-11-14,LeTourneau,49,McNeese St.,81,-32
2023-11-21,Texas St.,48,McNeese St.,59,-11
2023-12-02,Tennessee Martin,80,McNeese St.,91,-11
2023-12-05,Miss. Univ. for Women,23,McNeese St.,92,-69
2023-12-13,Southern Miss,48,McNeese St.,67,-19
2023-12-17,Louisiana,72,McNeese St.,74,-2
2023-11-06,Jackson St.,77,Memphis,94,-17
2023-11-17,Alabama St.,75,Memphis,92,-17
2023-11-22,Michigan,67,Memphis,71,-4
2023-11-24,Villanova,79,Memphis,63,16
2023-12-16,Clemson,77,Memphis,79,-2
2023-12-19,Virginia,54,Memphis,77,-23
2023-12-23,Vanderbilt,75,Memphis,77,-2
2023-12-30,Austin Peay,70,Memphis,81,-11
2023-11-06,Clark Atlanta,71,Mercer,64,7
2023-12-06,South Alabama,83,Mercer,62,21
2023-12-09,Georgia St.,60,Mercer,64,-4
2023-12-16,Florida Gulf Coast,65,Mercer,70,-5
2023-12-19,Queens,65,Mercer,84,-19
2023-12-21,Thomas,75,Mercer,98,-23
2023-12-29,Talladega,50,Mercer,74,-24
2023-11-09,Worcester St.,72,Merrimack,93,-21
2023-11-22,North Carolina A&T,73,Merrimack,96,-23
2023-11-25,Alabama St.,66,Merrimack,60,6
2023-12-02,UMass Lowell,68,Merrimack,74,-6
2023-12-09,Felician,85,Merrimack,89,-4
2023-12-22,Bucknell,52,Merrimack,68,-16
2023-11-06,NJIT,60,Miami FL,101,-41
2023-11-10,UCF,72,Miami FL,88,-16
2023-11-13,FIU,80,Miami FL,86,-6
2023-12-02,Notre Dame,49,Miami FL,62,-13
2023-12-06,LIU,49,Miami FL,97,-48
2023-12-10,Colorado,90,Miami FL,63,27
2023-12-16,La Salle,77,Miami FL,84,-7
2023-12-21,Stonehill,59,Miami FL,97,-38
2023-12-29,North Florida,55,Miami FL,95,-40
2023-11-11,Texas St.,75,Miami OH,65,10
2023-11-17,Coppin St.,48,Miami OH,76,-28
2023-11-19,Eastern Illinois,64,Miami OH,76,-12
2023-11-28,Spalding,43,Miami OH,82,-39
2023-12-22,Vermont,69,Miami OH,70,-1
2023-12-29,Wilberforce,69,Miami OH,119,-50
2023-11-07,UNC Asheville,74,Michigan,99,-25
2023-11-10,Youngstown St.,62,Michigan,92,-30
2023-11-17,Long Beach St.,94,Michigan,86,8
2023-11-24,Texas Tech,73,Michigan,57,16
2023-12-05,Indiana,78,Michigan,75,3
2023-12-16,Eastern Michigan,66,Michigan,83,-17
2023-12-19,Florida,106,Michigan,101,5
2023-12-29,McNeese St.,87,Michigan,76,11
2023-11-06,James Madison,79,Michigan St.,76,3
2023-11-09,Southern Indiana,51,Michigan St.,74,-23
2023-11-14,Duke,74,Michigan St.,65,9
2023-11-17,Butler,54,Michigan St.,74,-20
2023-11-19,Alcorn St.,49,Michigan St.,81,-32
2023-11-28,Georgia Southern,55,Michigan St.,86,-31
2023-12-05,Wisconsin,70,Michigan St.,57,13
2023-12-16,Baylor,64,Michigan St.,88,-24
2023-12-18,Oakland,62,Michigan St.,79,-17
2023-12-21,Stony Brook,55,Michigan St.,99,-44
2023-12-30,Indiana St.,75,Michigan St.,87,-12
2023-11-06,Northern Kentucky,57,Middle Tennessee,74,-17
2023-11-09,Stephen F. Austin,62,Middle Tennessee,67,-5
2023-11-13,Western Carolina,66,Middle Tennessee,64,2
2023-11-18,Milligan,62,Middle Tennessee,88,-26
2023-11-21,UAB,58,Middle Tennessee,57,1
2023-11-26,UMKC,59,Middle Tennessee,63,-4
2023-12-02,Wofford,74,Middle Tennessee,64,10
2023-12-05,Missouri St.,73,Middle Tennessee,77,-4
2023-12-09,Belmont,75,Middle Tennessee,65,10
2023-11-06,Wisconsin Stout,73,Milwaukee,91,-18
2023-11-17,Luther,56,Milwaukee,85,-29
2023-11-20,Stetson,85,Milwaukee,67,18
2023-11-21,Siena,59,Milwaukee,61,-2
2023-11-25,Southern Miss,90,Milwaukee,84,6
2023-12-13,Longwood,80,Milwaukee,67,13
2023-12-22,Chattanooga,83,Milwaukee,85,-2
2023-12-29,Robert Morris,75,Milwaukee,78,-3
2023-12-31,Wright St.,83,Milwaukee,91,-8
2023-11-06,Bethune Cookman,60,Minnesota,80,-20
2023-11-10,UTSA,76,Minnesota,102,-26
2023-11-16,Missouri,70,Minnesota,68,2
2023-11-18,USC Upstate,53,Minnesota,67,-14
2023-11-21,Arkansas Pine Bluff,67,Minnesota,86,-19
2023-11-30,New Orleans,64,Minnesota,97,-33
2023-12-06,Nebraska,65,Minnesota,76,-11
2023-12-09,Florida Gulf Coast,57,Minnesota,77,-20
2023-12-12,IUPUI,65,Minnesota,101,-36
2023-12-21,Ball St.,63,Minnesota,80,-17
2023-12-29,Maine,62,Minnesota,80,-18
2023-11-06,Alabama St.,59,Mississippi,69,-10
2023-11-10,Eastern Washington,64,Mississippi,75,-11
2023-11-14,Detroit Mercy,69,Mississippi,70,-1
2023-11-17,Sam Houston St.,67,Mississippi,70,-3
2023-11-28,N.C. State,52,Mississippi,72,-20
2023-12-02,Memphis,77,Mississippi,80,-3
2023-12-05,Mount St. Mary's,68,Mississippi,77,-9
2023-12-16,California,78,Mississippi,88,-10
2023-12-19,Troy,53,Mississippi,74,-21
2023-12-23,Southern Miss,72,Mississippi,89,-17
2023-12-31,Bryant,78,Mississippi,95,-17
2023-11-08,Arizona St.,56,Mississippi St.,71,-15
2023-11-11,Tennessee Martin,63,Mississippi St.,87,-24
2023-11-14,North Alabama,54,Mississippi St.,81,-27
2023-11-24,Nicholls St.,61,Mississippi St.,74,-13
2023-12-03,Southern,60,Mississippi St.,59,1
2023-12-09,Tulane,76,Mississippi St.,106,-30
2023-12-13,Murray St.,81,Mississippi St.,85,-4
2023-12-17,North Texas,54,Mississippi St.,72,-18
2023-12-31,Bethune Cookman,62,Mississippi St.,85,-23
2023-11-06,Arkansas Pine Bluff,79,Missouri,101,-22
2023-11-10,Memphis,70,Missouri,55,15
2023-11-13,SIU Edwardsville,50,Missouri,68,-18
2023-11-19,Jackson St.,73,Missouri,72,1
2023-11-22,South Carolina St.,59,Missouri,82,-23
2023-11-25,Loyola MD,70,Missouri,78,-8
2023-12-03,Wichita St.,72,Missouri,82,-10
2023-12-17,Seton Hall,93,Missouri,87,6
2023-12-22,Illinois,97,Missouri,73,24
2023-12-30,Central Arkansas,59,Missouri,92,-33
2023-11-13,Oral Roberts,69,Missouri St.,84,-15
2023-11-19,Kent St.,52,Missouri St.,56,-4
2023-11-20,Abilene Christian,69,Missouri St.,87,-18
2023-11-25,South Carolina St.,74,Missouri St.,92,-18
2023-11-29,Evansville,78,Missouri St.,90,-12
2023-12-09,Sam Houston St.,60,Missouri St.,69,-9
2023-12-19,Lindenwood,57,Missouri St.,79,-22
2023-11-18,Princeton,82,Monmouth,57,25
2023-11-21,Lehigh,79,Monmouth,88,-9
2023-11-25,Lafayette,53,Monmouth,63,-10
2023-12-09,Northern Illinois,71,Monmouth,74,-3
2023-12-16,Rider,71,Monmouth,77,-6
2023-12-21,Manhattan,71,Monmouth,77,-6
2023-11-07,Northwest Indian,59,Montana,107,-48
2023-11-12,UC Davis,65,Montana,78,-13
2023-11-16,North Dakota St.,78,Montana,69,9
2023-12-02,San Jose St.,58,Montana,75,-17
2023-12-05,Montana State Northern,67,Montana,91,-24
2023-12-09,Montana Tech,67,Montana,88,-21
2023-11-06,Northwest Indian,63,Montana St.,103,-40
2023-11-20,Green Bay,54,Montana St.,53,1
2023-11-22,UC Riverside,68,Montana St.,69,-1
2023-11-26,Long Beach St.,75,Montana St.,69,6
2023-11-30,Rocky Mountain,70,Montana St.,62,8
2023-12-16,American Indian,81,Montana St.,106,-25
2023-12-19,Southern Utah,88,Montana St.,89,-1
2023-11-08,Shawnee St.,40,Morehead St.,96,-56
2023-11-14,Mercer,66,Morehead St.,74,-8
2023-11-22,Midway,53,Morehead St.,94,-41
2023-12-03,Chattanooga,80,Morehead St.,87,-7
2023-12-14,Saint Mary of the Wood,33,Morehead St.,102,-69
2023-12-21,Alice Lloyd,39,Morehead St.,101,-62
2023-11-09,Cheyney,52,Morgan St.,100,-48
2023-11-12,Penn St. Wilkes Barre,60,Morgan St.,78,-18
2023-12-03,Longwood,88,Morgan St.,54,34
2023-12-06,UMBC,80,Morgan St.,92,-12
2023-12-09,Virginia Lynchburg,50,Morgan St.,120,-70
2023-12-22,James Madison,89,Morgan St.,75,14
2023-11-11,Coppin St.,60,Mount St. Mary's,74,-14
2023-11-25,Howard,87,Mount St. Mary's,83,4
2023-12-03,Siena,48,Mount St. Mary's,80,-32
2023-12-23,LIU,59,Mount St. Mary's,87,-28
2023-11-06,Midway,58,Murray St.,91,-33
2023-11-10,Tennessee Tech,72,Murray St.,78,-6
2023-11-14,Western Kentucky,86,Murray St.,81,5
2023-11-20,UNC Wilmington,83,Murray St.,81,2
2023-11-22,Appalachian St.,67,Murray St.,57,10
2023-11-29,Bradley,72,Murray St.,79,-7
2023-12-16,Southeastern Louisiana,61,Murray St.,55,6
2023-12-22,SMU,92,Murray St.,65,27
2023-12-30,Middle Tennessee,54,Murray St.,75,-21
2023-11-06,The Citadel,59,N.C. State,72,-13
2023-11-10,Abilene Christian,64,N.C. State,84,-20
2023-11-17,Charleston Southern,53,N.C. State,87,-34
2023-12-06,Maryland Eastern Shore,61,N.C. State,93,-32
2023-12-12,Tennessee Martin,67,N.C. State,81,-14
2023-12-20,Saint Louis,70,N.C. State,82,-12
2023-12-23,Detroit Mercy,66,N.C. State,83,-17
2023-11-11,Saint Peter's,75,NJIT,48,27
2023-11-20,Delaware St.,72,NJIT,81,-9
2023-12-02,Fairleigh Dickinson,71,NJIT,68,3
2023-12-22,Medgar Evers,51,NJIT,127,-76
2023-12-31,Morgan St.,53,NJIT,69,-16
2023-11-10,Temple,75,Navy,68,7
2023-11-29,VMI,47,Navy,67,-20
2023-12-03,Coppin St.,52,Navy,75,-23
2023-12-17,Washington MD,33,Navy,91,-58
2023-12-30,William & Mary,65,Navy,77,-12
2023-11-06,Lindenwood,52,Nebraska,84,-32
2023-11-09,Florida A&M,54,Nebraska,81,-27
2023-11-13,Rider,50,Nebraska,64,-14
2023-11-15,Stony Brook,63,Nebraska,84,-21
2023-11-18,Oregon St.,63,Nebraska,84,-21
2023-11-22,Duquesne,79,Nebraska,89,-10
2023-11-26,Cal St. Fullerton,72,Nebraska,85,-13
2023-12-03,Creighton,89,Nebraska,60,29
2023-12-10,Michigan St.,70,Nebraska,77,-7
2023-12-20,North Dakota,75,Nebraska,83,-8
2023-12-29,South Carolina St.,62,Nebraska,91,-29
2023-11-06,Doane,53,Nebraska Omaha,85,-32
2023-11-16,William & Mary,83,Nebraska Omaha,89,-6
2023-11-22,Mid America Christian,59,Nebraska Omaha,76,-17
2023-11-27,York NE,68,Nebraska Omaha,104,-36
2023-11-30,Bellevue,59,Nebraska Omaha,78,-19
2023-12-17,Stetson,80,Nebraska Omaha,88,-8
2023-12-29,Denver,95,Nebraska Omaha,80,15
2023-11-07,Sacramento St.,63,Nevada,77,-14
2023-11-15,Pacific,39,Nevada,88,-49
2023-11-18,Portland,83,Nevada,108,-25
2023-11-29,Montana,66,Nevada,77,-11
2023-12-02,Loyola Marymount,59,Nevada,73,-14
2023-12-06,UC Davis,68,Nevada,80,-12
2023-12-09,Drake,72,Nevada,53,19
2023-12-13,Weber St.,55,Nevada,72,-17
2023-12-21,Temple,56,Nevada,80,-24
2023-12-30,Fresno Pacific,59,Nevada,92,-33
2023-11-08,Curry,38,New Hampshire,115,-77
2023-11-14,Brown,64,New Hampshire,82,-18
2023-11-21,Marist,71,New Hampshire,74,-3
2023-12-03,Columbia,71,New Hampshire,80,-9
2023-12-11,Stonehill,62,New Hampshire,75,-13
2023-11-06,Texas Southern,55,New Mexico,92,-37
2023-11-16,UT Arlington,80,New Mexico,82,-2
2023-11-21,Toledo,84,New Mexico,92,-8
2023-11-24,Pepperdine,71,New Mexico,90,-19
2023-11-29,Louisiana Tech,65,New Mexico,74,-9
2023-12-02,New Mexico St.,62,New Mexico,106,-44
2023-12-06,UC Santa Barbara,61,New Mexico,84,-23
2023-12-09,Santa Clara,76,New Mexico,93,-17
2023-12-20,UC Irvine,65,New Mexico,78,-13
2023-12-29,Eastern New Mexico,54,New Mexico,87,-33
2023-11-08,Sul Ross St.,49,New Mexico St.,84,-35
2023-11-14,Western New Mexico,43,New Mexico St.,78,-35
2023-11-18,Northern Colorado,71,New Mexico St.,76,-5
2023-11-21,Fresno St.,81,New Mexico St.,76,5
2023-11-22,Southern Illinois,81,New Mexico St.,54,27
2023-11-28,Southwest,49,New Mexico St.,84,-35
2023-12-12,Northern New Mexico,71,New Mexico St.,76,-5
2023-12-15,New Mexico,73,New Mexico St.,72,1
2023-12-30,Cal Baptist,61,New Mexico St.,66,-5
2023-11-06,Millsaps,70,New Orleans,100,-30
2023-11-11,Southern New Orleans,69,New Orleans,106,-37
2023-12-05,Belhaven,65,New Orleans,79,-14
2023-12-14,Birmingham Southern,51,New Orleans,91,-40
2023-11-11,Bucknell,73,Niagara,64,9
2023-12-01,Saint Peter's,72,Niagara,67,5
2023-12-03,Quinnipiac,75,Niagara,68,7
2023-12-06,St. Bonaventure,94,Niagara,60,34
2023-12-10,Buffalo St.,64,Niagara,113,-49
2023-12-16,NJIT,81,Niagara,89,-8
2023-11-15,Denver,91,Nicholls St.,85,6
2023-11-17,SIU Edwardsville,60,Nicholls St.,51,9
2023-11-21,Blue Mountain,56,Nicholls St.,86,-30
2023-12-09,Elizabeth City St.,70,Nicholls St.,84,-14
2023-12-30,Mobile,65,Nicholls St.,74,-9
2023-11-06,Penn St. Wilkes Barre,55,Norfolk St.,102,-47
2023-11-09,The Apprentice School,56,Norfolk St.,90,-34
2023-11-13,Hampton,68,Norfolk St.,75,-7
2023-11-28,William & Mary,62,Norfolk St.,96,-34
2023-12-18,Southern Virginia,52,Norfolk St.,108,-56
2023-12-21,South Dakota St.,65,Norfolk St.,84,-19
2023-11-06,Blue Mountain,60,North Alabama,93,-33
2023-11-09,Alabama A&M,67,North Alabama,83,-16
2023-11-18,Jacksonville St.,59,North Alabama,61,-2
2023-11-30,Tennessee Tech,71,North Alabama,86,-15
2023-12-07,Point,65,North Alabama,109,-44
2023-12-10,Morehead St.,86,North Alabama,77,9
2023-11-06,Radford,70,North Carolina,86,-16
2023-11-12,Lehigh,68,North Carolina,90,-22
2023-11-17,UC Riverside,52,North Carolina,77,-25
2023-11-29,Tennessee,92,North Carolina,100,-8
2023-12-02,Florida St.,70,North Carolina,78,-8
2023-12-05,Connecticut,87,North Carolina,76,11
2023-12-16,Kentucky,87,North Carolina,83,4
2023-12-20,Oklahoma,69,North Carolina,81,-12
2023-12-29,Charleston Southern,60,North Carolina,105,-45
2023-11-24,Alabama St.,88,North Carolina A&T,73,15
2023-12-02,The Citadel,85,North Carolina A&T,68,17
2023-12-12,North Carolina Central,67,North Carolina A&T,62,5
2023-12-16,Texas Southern,79,North Carolina A&T,85,-6
2023-11-09,Virginia Lynchburg,54,North Carolina Central,107,-53
2023-11-14,Mid Atlantic Christian,50,North Carolina Central,113,-63
2023-12-02,USC Upstate,85,North Carolina Central,82,3
2023-12-15,St. Andrews Pres.,50,North Carolina Central,102,-52
2023-12-20,Longwood,70,North Carolina Central,79,-9
2023-11-12,Elon,68,North Dakota,85,-17
2023-11-16,Valley City St.,63,North Dakota,93,-30
2023-11-25,New Orleans,69,North Dakota,71,-2
2023-11-28,Concordia MN,56,North Dakota,87,-31
2023-12-09,Portland,83,North Dakota,72,11
2023-12-12,Waldorf,36,North Dakota,87,-51
